Artist,Status,Details
49Th & Main,Warning,Stubhub: Got 0
Bingverse,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0"
Cassian,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0"
Chapelle Roan,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0"
Chris Lorenzo,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0"
D4Vd,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0"
Danial Ceaser,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0"
Darius Rucker,Warning,Twitter: Got 0
David Grey,Warning,Twitter: Got 0
Dc The Dom,Warning,Twitter: Got 0
Dean Lewis,Warning,Twitter: Got 0
Denzel Curey,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0"
Dlow Curry,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0"
Dylan Scott,Warning,Stubhub: Got 0
Electric Island Afterparty Coda,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Eric Prydz,Warning,Stubhub: Got 0
Frank Walker,Warning,Twitter: Got 0
Franz Ferdinand,Warning,"Twitter: Got 0, Stubhub: Got 0"
Friction,Warning,Stubhub: Got 0
Fujii Kaze,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
G-Eazy,Warning,Stubhub: Got 0
G.E.M,Warning,Stubhub: Got 0
Garbage,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Gigi Leung,Warning,"Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Goo Goo,Warning,"Twitter: Got 0, Stubhub: Got 0"
Gracie Abrams,Warning,Stubhub: Got 0
Halsey,Warning,Stubhub: Got 0
Hwasa,Warning,Stubhub: Got 0
I Hate Models,Warning,Twitter: Got 0
Incubus,Warning,Stubhub: Got 0
Jack White,Warning,"Twitter: Got 0, Stubhub: Got 0"
James Bay,Warning,Stubhub: Got 0
James Hype,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
James Taylor,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Jan Blomqvist,Warning,"Twitter: Got 0, Stubhub: Got 0"
Jason Aldean,Warning,Stubhub: Got 0
Jelly Roll,Warning,"Twitter: Got 0, Stubhub: Got 0"
Jerry Seinfeld,Warning,"Spotify Lis: Got 0, Stubhub: Got 0"
Jj Lin,Warning,Stubhub: Got 0
Joe P,Warning,Stubhub: Got 0
John Summit,Warning,Stubhub: Got 0
Jojo,Warning,Stubhub: Got 0
Justice,Warning,Stubhub: Got 0
Kaaze,Warning,Stubhub: Got 0
Katseye,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Katy Perry,Warning,Stubhub: Got 0
Kayzo,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Keith Urban,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Kelsea Ballerini,Warning,"Twitter: Got 0, Stubhub: Got 0"
Kendric Lamar,Warning,Stubhub: Got 0
Kes,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Korolova,Warning,"Twitter: Got 0, Stubhub: Got 0"
Kshmr,Warning,Stubhub: Got 0
Kylie Minogue,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Lady Gaga,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Lainey Wilson,Warning,Stubhub: Got 0
Laufey,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Lazer Dim700,Warning,"Twitter: Got 0, Stubhub: Got 0"
Lcd Sound System,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Level Up,Warning,Twitter: Got 0
Lights,Warning,"Twitter: Got 0, Stubhub: Got 0"
Lil Texas,Warning,Stubhub: Got 0
Lilly Palmer,Warning,Twitter: Got 0
Lola Young,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Lorde,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Lost Frequency,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Luke Bryan,Warning,Stubhub: Got 0
M1Llionz,Warning,Stubhub: Got 0
Magdelena Bay,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Marc Scibila,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
Mike Bahia,Warning,"Twitter: Got 0, Stubhub: Got 0"
Mild Minds,Warning,Stubhub: Got 0
Mk,Warning,"IG: Got 0, Twitter: Got 0"
Morgan Wallen,Warning,Stubhub: Got 0
Mumford And Sons,Warning,"IG: Got 0, Spotify Fol: Got 0, Spotify Lis: Got 0, Twitter: Got 0, Stubhub: Got 0"
My Chemical Romance,Warning,"Twitter: Got 0, Stubhub: Got 0"
Nao,Warning,Stubhub: Got 0
